206,-2757,258855
2017892816,2379,-2703,258667
2017893517,2018,-2704,258787
2017894219,2075,-2814,258827
2017894921,2431,-2751,259051
2017895623,2364,-2910,258726
2017896326,2021,-2715,258520
2017897028,2252,-2564,258667
2017897729,2216,-2884,258708
2017898431,2211,-2710,258840
2017899134,2288,-3021,258599
2017899836,2260,-2700,258724
2017900538,2242,-2794,259007
2017901241,2350,-2783,258787
2017901942,2262,-2912,258548
2017902643,2448,-2733,258804
2017903346,2187,-2719,258725
2017904049,2212,-2757,258825
2017904751,2175,-2764,258621
2017905454,2166,-2613,258912
2017906157,2225,-2895,258464
2017906858,2340,-2886,258427
2017907559,2343,-2738,258803
2017908261,2559,-2681,258665
2017908963,2301,-2731,258702
2017909665,2247,-2734,258909
2017910368,2464,-2767,258950
2017911071,2132,-2856,258711
2017911772,2214,-2863,258591
2017912474,2250,-2781,258459
2017913176,2208,-2631,258629
2017913877,2280,-2816,258644
2017914579,2373,-2594,258566
2017915282,2296,-2899,258597
2017915983,2269,-2721,258689
2017916685,2152,-2747,258701
2017917388,2438,-2882,258878
2017918091,2381,-2688,258738
2017918792,2534,-2716,258878
2017919494,2122,-2806,258573
2017920196,2553,-2769,258684
2017920898,2262,-2789,258793
2017921600,2547,-2775,258388
2017922303,2434,-2699,258836
2017923006,2509,-2731,258655
2017923707,2248,-2586,258541
2017924409,2072,-2723,258728
2017925111,2431,-2698,258676
2017925813,2320,-2919,258512
2017926515,2196,-2727,258540
2017927218,2417,-2895,258664
2017927919,2289,-2612,258677
2017928620,2342,-2865,258820
2017929322,2184,-2599,258652
2017930024,2212,-2590,258924
2017930725,2111,-2897,258618
2017931428,2112,-2787,258668
2017932131,2180,-2724,258656
2017932832,2194,-2943,258581
2017933533,2350,-2787,258845
2017934235,2393,-2801,258915
2017934936,2391,-2517,258850
2017935638,2372,-2707,258719
2017936341,2122,-2777,258444
2017937044,2295,-2686,258945
2017937745,2226,-2702,258449
2017938447,2314,-2733,258751
2017939149,2405,-2641,258767
2017939850,2346,-2730,258284
2017940552,2108,-2863,258573
2017941255,2265,-2722,258588
2017941956,2370,-2954,258326
2017942657,2362,-2801,258363
2017943359,2384,-2995,258886
2017944061,2122,-2680,258621
2017944762,2280,-2687,258945
2017945465,2069,-2896,258705
2017946168,2268,-2835,258752
2017946869,2356,-2824,258874
2017947570,2328,-2742,258796
2017948272,2338,-2955,258809
2017948973,2318,-2787,259056
2017949674,2134,-2740,258767
2017950377,2270,-2868,258742
2017951080,2178,-2757,258519
2017951781,2136,-2576,258550
2017952483,2354,-2678,258563
2017953185,2199,-2731,258470
2017953886,2316,-2873,258559
2017954587,2266,-2817,258245
2017955290,2333,-2942,258863
2017955992,2255,-2679,258770
2017956693,2297,-2888,258758
2017957395,2430,-2903,258637
2017958097,2492,-2806,258836
2017958798,2112,-2772,258574
2017959501,2192,-2829,258531
2017960204,2225,-2587,258604
2017960906,2350,-2774,258741
2017961607,2401,-2553,259063
2017962309,2248,-2553,258549
2017963011,2243,-2788,258671
2017963712,2394,-2752,258676
2017964415,2217,-2751,258760
2017965118,2463,-2793,258680
2017965820,2116,-2982,258428
2017966521,2333,-3010,258636
2017967223,2354,-2674,258414
2017967924,2426,-2857,258321
2017968625,2303,-2571,258666
2017969328,2345,-2754,258766
2017970031,2332,-2941,258868
2017970733,2125,-2809,258599
2017971436,2226,-2736,258611
2017972138,2288,-2731,258849
2017972839,2389,-2560,258460
2017973540,2010,-2717,258581
2017974243,2206,-2900,258634
2017974945,2111,-2887,258833
2017975646,2361,-2968,258688
2017976348,2184,-2864,258858
2017977050,2125,-2834,258692
2017977751,2278,-2842,258796
2017978454,2241,-2698,258730
2017979157,2374,-2630,258509
2017979859,2383,-2645,258536
2017980561,2198,-2791,258598
2017981263,2313,-2833,258858
2017981964,2392,-2731,258572
2017982665,2368,-2803,258377
2017983368,2289,-2493,258845
2017984071,2241,-2747,258930
2017984773,2233,-2728,258368
2017985475,2046,-2650,258727
2017986177,2222,-2580,258793
2017986878,2377,-2643,258642
2017987579,2325,-2754,258678
2017988282,2260,-2628,258536
2017988984,2100,-2703,258915
2017989686,2225,-2865,258804
2017990389,2178,-2698,258719
2017991092,2171,-3005,258928
2017991793,2388,-2666,258574
2017992495,2190,-2873,258925
2017993198,2349,-2698,258597
2017993900,2273,-2757,258896
2017994602,1998,-2853,258705
2017995305,2349,-2697,258829
2017996008,2116,-2766,258659
2017996709,2267,-2719,258658
2017997411,2266,-2926,258426
2017998113,2280,-2831,258960
2017998815,2172,-2948,258923
2017999517,2464,-2652,258795
2018000220,2537,-2883,258945
2018000921,2238,-2725,258539
2018001622,2325,-2871,258629
2018002324,2304,-2700,258507
2018003027,2256,-2870,258565
2018003729,2306,-2796,258851
2018004432,2326,-2877,258745
2018005135,2369,-2810,258699
2018005836,2230,-2769,258723
2018006537,2198,-2842,258711
2018007239,2171,-2706,258639
2018007941,2200,-2801,258779
2018008643,2176,-2778,258604
2018009346,2267,-2704,258979
2018010049,2274,-2808,258487
2018010750,2337,-2867,258576
2018011452,2513,-2531,258765
2018012154,2233,-2991,258816
2018012856,1980,-2667,258514
2018013558,2261,-2788,258910
2018014261,2188,-2650,258621
2018014962,2291,-2770,258653
2018015663,2198,-2697,258813
2018016365,2304,-2988,258676
2018017067,2130,-2605,258776
2018017769,2275,-2834,258560
2018018472,2363,-2865,258407
2018019175,2164,-2834,258740
2018019876,2133,-2794,258648
2018020577,2343,-2847,258643
2018021279,2436,-2791,258798
2018021980,2017,-2830,258878
2018022681,2313,-2763,258795
2018023384,2158,-2653,258797
2018024087,2277,-2777,258848
2018024789,2364,-2754,258728
2018025491,2238,-2750,258662
2018026193,2269,-2834,258896
2018026894,2337,-2752,258570
2018027595,2390,-2680,258785
2018028298,2255,-2823,258756
2018029001,2098,-2601,258949
2018029703,2152,-2796,258561
2018030405,2386,-2683,258748
2018031107,2462,-2718,258712
2018031808,2180,-2897,258693
2018032509,2268,-2704,258648
2018033211,2305,-2865,258971
2018033913,2232,-2624,258615
2018034615,2255,-2629,258933
2018035318,2179,-2567,258870
2018036021,2319,-2792,258585
2018036722,2297,-2772,258624
2018037424,2149,-2848,258770
2018038127,2046,-2888,258893
2018038829,2403,-2862,258670
2018039531,2224,-2578,258786
2018040234,2364,-2729,258605
2018040935,2310,-2857,258498
2018041636,2231,-2675,258603
2018042339,2238,-2688,259079
2018043042,2459,-2612,258770
2018043744,2080,-2566,258677
2018044447,2306,-2724,258687
2018045150,2205,-2669,258635
2018045851,2292,-2828,258706
2018046552,2155,-2776,259016
2018047255,2427,-2685,258450
2018047957,2288,-2562,258750
2018048659,2190,-2853,259025
2018049362,2242,-2747,258616
2018050064,2207,-2639,258803
2018050765,2305,-2886,258647
2018051467,1978,-2824,258493
2018052170,2248,-2668,258824
2018052872,2146,-2625,258629
2018053574,2179,-2541,258594
2018054277,2145,-2690,258423
2018054978,2238,-2738,258679
2018055680,2187,-2748,258672
2018056383,2225,-2712,258914
2018057086,2151,-2896,258558
2018057787,2354,-2893,258886
2018058489,2287,-2750,258721
2018059191,2302,-2742,258824
2018059893,2133,-2590,258450
2018060595,2210,-2747,258839
2018061298,2345,-2677,258510
2018062001,2349,-2635,258760
2018062702,2034,-2830,258391
2018063405,2040,-2572,258413
2018064108,2072,-2915,258715
2018064809,2185,-2799,258777
2018065511,2201,-2803,259013
2018066214,2328,-2786,258909
2018066915,2254,-2846,258810
2018067616,2379,-2913,258763
2018068318,2428,-2679,258617
2018069020,2342,-2820,258696
2018069722,2201,-2734,258608
2018070425,2197,-2830,258890
2018071128,2192,-2750,258789
2018071829,2283,-2904,258714
2018072530,2352,-2814,258217
2018073232,2391,-2829,258665
2018073933,2387,-2856,258669
2018074635,2213,-2671,258583
2018075338,2230,-2527,258455
2018076041,2401,-2820,258712
2018076742,2279,-3039,258656
2018077444,2275,-2886,258567
2018078146,2274,-2868,258531
2018078847,2269,-2710,258907
2018079549,2282,-2749,258730
2018080252,2169,-2965,258780
2018080953,2266,-2816,258782
2018081654,2374,-2551,259045
2018082356,2319,-2616,259146
2018083058,2229,-2740,258547
2018083759,2292,-2968,258645
2018084462,2112,-2874,258614
2018085165,2448,-2837,258628
2018085867,2198,-2712,258676
2018086568,2119,-2744,258949
2018087270,2173,-2780,258600
2018087971,2154,-2867,258625
2018088672,2318,-2711,258545
2018089375,2391,-2726,258772
2018090078,2349,-2530,258962
2018090780,2287,-2914,258742
2018091482,2214,-2784,258850
2018092184,2268,-2811,258574
2018092885,2338,-2734,258628
2018093586,2435,-2834,258792
2018094289,2390,-2775,258689
2018094991,2265,-2889,258519
2018095693,2204,-2924,258765
2018096395,2193,-2920,258967
2018097097,2268,-3037,258388
2018097798,2327,-2996,258683
2018098501,2189,-2693,258758
2018099204,2296,-3070,258552
2018099906,2414,-2655,258985
2018100608,2396,-2754,258504
2018101311,2232,-2906,258541
2018102014,2348,-2860,258840
2018102715,2250,-2680,258415
2018103417,2397,-2736,258552
2018104120,2221,-2896,259030
2018104822,2347,-2807,258553
2018105524,2308,-2722,258589
2018106227,2275,-2744,258403
2018106928,2370,-2758,258465
2018107629,2171,-2522,258622
2018108331,2201,-2641,258625
2018109033,2702,-2711,258687
2018109735,2309,-2940,258686
2018110438,2334,-2783,258627
2018111141,2192,-2781,258457
2018111842,2349,-2748,258751
2018112543,2304,-2756,258787
2018113245,2362,-2738,259021
2018113946,2392,-2798,258769
2018114648,2063,-2895,258392
2018115351,2415,-2656,258882
2018116054,2220,-2721,258935
2018116755,2201,-2907,258842
2018117457,2367,-2619,258742
2018118159,2202,-2866,258723
2018118860,2117,-2797,259080
2018119562,2451,-2884,258813
2018120265,2188,-2779,258596
2018120966,2490,-2744,258495
2018121667,2292,-2890,258803
2018122369,2100,-2870,258976
2018123071,2221,-2796,258809
2018123772,2249,-2796,258502
2018124475,2125,-2850,258783
2018125178,2229,-2848,258742
2018125879,2390,-2923,258815
2018126580,2352,-2884,258674
2018127282,2288,-2848,258788
2018127983,2242,-2749,258810
2018128685,2208,-2737,258633
2018129388,2214,-2774,258667
2018130091,2279,-2920,258899
2018130792,2225,-2852,258671
2018131494,2106,-2796,258624
2018236986,2297,-2784,258659
2018237687,2416,-2649,258740
2018238389,2246,-2716,258899
2018239092,2134,-2845,258842
2018239794,2085,-3024,258948
2018240497,2202,-2938,258530
2018241200,2241,-2674,258625
2018241901,2059,-2682,258869
2018242602,2172,-2693,258500
2018243304,2372,-2792,258682
2018244006,2275,-2985,258552
2018244708,2221,-2698,258476
2018245411,2341,-2918,258976
2018246114,2253,-2942,258986
2018246815,2362,-2721,258647
2018247516,2455,-2694,258511
2018248218,2171,-2730,258822
2018248919,2319,-2778,258870
2018249621,2367,-2729,258771
2018250324,2224,-2667,258862
2018251027,2178,-2955,258787
2018251728,2297,-2883,258989
2018252430,2319,-2770,258732
2018253132,2221,-2546,258784
2018253833,2239,-2818,258735
2018254535,2132,-2763,258590
2018255238,2102,-2783,258610
2018255939,2104,-2650,258860
2018256640,2346,-2743,258827
2018257342,2228,-2717,258577
2018258044,2049,-2833,258608
2018258746,2038,-2889,258865
2018259449,2128,-2893,258900
2018260152,2426,-2744,258616
2018260853,2446,-2876,258889
2018261554,2183,-2709,258814
2018262256,2238,-2707,258748
2018262958,2140,-2819,258584
2018263660,2162,-2815,258986
2018264363,2268,-2819,258388
2018265066,2187,-2792,258536
2018265767,2135,-2822,258910
2018266469,2309,-2843,258923
2018267171,2348,-2671,258961
2018267872,2316,-2826,258640
2018268574,2360,-2924,259173
2018269277,2489,-2867,258696
2018269979,2117,-2770,258962
2018270681,2164,-2845,258863
2018271384,2338,-2757,258829
2018272087,2187,-2723,258836
2018272788,2295,-2834,258634
2018273490,2183,-2928,258871
2018274193,2503,-2721,258650
2018274895,2241,-2859,258660
2018275597,2346,-2833,258878
2018276300,2234,-2643,258727
2018277003,2348,-2877,258989
2018277704,2356,-2658,258741
2018278406,2301,-2901,258589
2018279108,2224,-2895,258793
2018279810,2161,-2892,258815
2018280512,2310,-3012,258796
2018281215,2190,-2780,258629
2018281916,2261,-2955,258828
2018282617,2156,-2943,258735
2018283319,2289,-2891,258803
2018284021,2236,-2643,258508
2018284722,2265,-2866,258788
2018285425,2304,-2672,258761
2018286128,2292,-2688,258626
2018286830,2172,-2831,258625
2018287531,2138,-2668,258324
2018288233,2428,-2699,258796
2018288934,2151,-2853,258706
2018289635,2298,-2791,258652
2018290338,2376,-2771,258850
2018291041,2340,-2910,258645
2018291743,2282,-2641,258499
2018292445,2229,-2947,258715
2018293147,2347,-3000,258687
2018293848,2091,-2829,258656
2018294549,2379,-2622,258651
2018295252,2142,-2748,258527
2018295954,2319,-2841,258801
2018296655,2298,-2827,258710
2018297357,2136,-2830,258815
2018298059,2373,-2861,258587
2018298760,2435,-2947,258766
2018299463,2310,-2519,258999
2018300166,2275,-2931,258804
2018300868,2339,-2943,258624
2018301569,2280,-2695,258393
2018302271,2277,-2883,258652
2018302972,2184,-2809,258606
2018303673,2449,-2609,258827
2018304376,2198,-2775,258629
2018305079,2223,-2965,258788
2018305781,2260,-2643,258604
2018306484,2267,-2998,258797
2018307186,2366,-2718,258832
2018307887,2184,-2850,258849
2018308588,2382,-2770,258665
2018309290,2345,-2609,258388
2018309992,2247,-2822,258699
2018310694,2223,-2525,258242
2018311397,2331,-2673,258561
2018312099,2307,-2837,258945
2018312800,2207,-2651,258881
2018313502,2323,-2589,258730
2018314205,2343,-2874,258757
2018314907,2223,-2719,258639
2018315609,2247,-2792,258704
2018316312,2113,-2801,258671
2018317014,2172,-2908,258553
2018317715,2342,-2806,258451
2018318417,2374,-3108,258811
2018319120,2241,-2873,258676
2018319822,2219,-2785,258888
2018320524,2317,-2729,258893
2018321226,2188,-2860,258544
2018321927,2295,-2551,258818
2018322628,2178,-2856,258670
2018323331,2237,-2907,258792
2018324034,2460,-2828,258634
2018324736,2216,-2978,258520
2018325439,2329,-3029,258654
2018326141,2420,-2752,258870
2018326842,2307,-2892,258432
2018327543,1988,-2565,258595
2018328246,2301,-2863,258880
2018328948,2275,-2763,258828
2018329650,2172,-2853,258816
2018330352,2304,-2846,258684
2018331054,2194,-2939,258626
2018331755,2490,-2897,258634
2018332458,2197,-2758,259012
2018333161,2248,-2823,258357
2018333863,2273,-2821,258800
2018334565,2213,-2776,258657
2018335268,2446,-2752,258643
2018335969,2167,-2819,258875
2018336670,2139,-2647,258944
2018337373,2244,-2835,258563
2018338076,2252,-2784,258662
2018338778,2268,-2788,258938
2018339481,2407,-2938,258423
2018340184,2406,-2737,258817
2018340885,2247,-2760,258504
2018341586,2109,-2826,258797
2018342288,2115,-2779,258480
2018342990,2349,-2810,258561
2018343691,2246,-2572,258906
2018344394,2208,-2931,258639
2018345097,2372,-2820,258925
2018345798,2302,-2708,258644
2018346500,2339,-2754,258478
2018347202,2135,-2790,258796
2018347903,2350,-2553,258232
2018348604,2325,-2819,259007
2018349307,2431,-2730,258809
2018350010,2059,-2731,258800
2018350712,2261,-2977,258447
2018351414,2239,-2950,258732
2018352116,2135,-2540,258647
2018352817,2404,-2804,258606
2018353518,2148,-2669,258687
2018354221,2351,-2701,258621
2018354923,2138,-2884,258559
2018355625,2242,-2715,258678
2018356328,2121,-2723,258857
2018357031,2099,-2644,258536
2018357732,2377,-2706,258908
2018358434,2325,-2697,259043
2018359137,2206,-2880,258623
2018359839,2093,-2632,258876
2018360541,2218,-2771,258655
2018361244,2381,-2734,258533
2018361945,2261,-2559,258622
2018362646,2180,-2729,259084
2018363348,2274,-2887,258585
2018364051,2201,-2800,258644
2018364753,2296,-2734,258414
2018365456,2303,-2839,258579
2018366159,2395,-2673,258572
2018366860,2142,-2613,258608
2018367561,2224,-2753,258679
2018368263,2311,-2743,258744
2018368965,2303,-2848,258738
2018369667,2210,-2726,258796
2018370370,2436,-2546,258748
2018371073,2296,-3028,258512
2018371774,2303,-2794,258456
2018372476,2472,-2951,258597
2018373178,2237,-2744,258615
2018373879,2397,-2828,258885
2018374581,2212,-2727,258690
2018375284,2323,-2693,258705
2018375985,2151,-2667,258421
2018376686,2333,-2619,258484
2018377388,2146,-2896,258829
2018378091,2182,-2632,258914
2018378793,2306,-2847,258580
2018379496,2406,-2597,258575
2018380199,2356,-2689,258669
2018380900,2244,-2732,258485
2018381601,2243,-2825,258831
2018382303,2172,-2814,259008
2018383005,2259,-2520,258842
2018383706,2080,-2600,258559
2018384409,2318,-2816,258675
2018385112,2319,-2690,258683
2018385814,2404,-2714,258692
2018386516,2104,-2532,258618
2018387219,2137,-2869,258680
2018387920,2175,-2773,258655
2018388621,2420,-2724,258742
2018389324,2283,-2742,258522
2018390027,2180,-2874,258766
2018390729,2194,-2690,258730
2018391432,2255,-2643,258622
2018392135,2356,-2765,258614
2018392836,2295,-2671,258412
2018393537,2222,-2789,258464
2018394239,2198,-2725,258914
2018394940,2423,-2938,258708
2018395642,2273,-2767,258606
2018396345,2231,-2856,258536
2018397048,2292,-2837,258516
2018397749,2287,-2817,258554
2018398451,2313,-2705,258498
2018399153,2421,-2721,258618
2018399854,2304,-2747,258547
2018400555,2354,-2639,258747
2018401258,2199,-2802,258863
2018401960,2241,-2830,258618
2018402662,2234,-2947,259021
2018403364,2413,-2402,258847
2018404066,1986,-2604,258892
2018404767,2313,-2775,258971
2018405470,2145,-2699,258659
2018406173,2082,-2715,258770
2018406875,2034,-2728,258615
2018407577,2208,-3006,259063
2018408280,2124,-2759,258890
2018408981,2470,-2610,258652
2018409682,2315,-2746,258735
2018410384,2313,-2780,258706
2018411086,2174,-2569,258723
2018411787,2307,-2762,258336
2018412490,2161,-2886,258447
2018413193,2140,-2908,258481
2018413895,2266,-2967,258517
2018414596,2313,-2849,258927
2018415298,2371,-2744,258663
2018416001,2206,-2567,258719
2018416703,2396,-2897,258601
2018417406,2404,-2919,258442
2018418109,2262,-2599,258798
2018418810,2307,-2789,258719
2018419511,2435,-2693,259041
2018420213,2143,-2847,258927
2018420914,2140,-2599,258647
2018421615,2296,-2845,258593
2018422318,2355,-2814,258383
2018423021,2295,-2626,258862
2018423723,2270,-2761,258827
2018424425,2129,-2816,258535
2018425127,2130,-2890,258928
2018425828,2301,-2661,258861
2018426529,2308,-2807,258557
2018427232,2224,-2847,258755
2018427934,2292,-2791,258683
2018428636,2341,-2958,258769
2018429339,2173,-2805,258871
2018430041,2283,-2679,258788
2018430742,2301,-2882,258886
2018431444,2328,-2767,258978
2018432147,2268,-2911,258491
2018432849,2264,-2929,258832
2018433551,2275,-2943,258821
2018434254,2319,-2676,258762
2018434955,2219,-2892,259058
2018435656,2410,-2947,258985
2018436358,2489,-2759,258490
2018437060,2136,-2576,258742
2018437761,2014,-2879,258786
2018438464,2263,-2851,258565
2018439167,2150,-2777,258804
2018439869,2144,-2841,258615
2018440571,2283,-2998,258556
2018441273,2296,-2758,258601
2018441974,2388,-2787,258501
2018442675,2261,-2569,258688
2018443378,2534,-2944,258643
2018444081,2320,-2783,258620
2018444783,2132,-3032,258844
2018445486,2467,-3010,258706
2018446189,2176,-2928,258489
2018446890,2117,-2783,259182
2018447591,2184,-2756,258918
2018448293,2091,-2860,258613
2018448994,2313,-2916,258860
2018449696,2170,-2847,258757
2018450399,2161,-2954,258512
2018451102,2174,-2746,258741
2018451803,2097,-2658,258817
2018452504,2280,-2815,258863
2018453206,2297,-3010,258685
2018453907,2086,-2783,258675
2018454608,2391,-2690,258567
2018455311,2189,-2723,258573
2018456014,2568,-2795,258829
2018456716,2199,-2874,258771
2018457418,2310,-2875,258567
2018458120,2275,-2919,258526
2018458821,2256,-2797,258895
2018459522,2332,-2769,258662
2018460225,2427,-2851,258552
2018460927,2092,-2738,258371
2018461629,2185,-2880,258741
2018462332,2399,-2838,258792
2018463035,2450,-2812,258584
2018463736,2240,-2840,258988
2018464438,2467,-2766,259159
2018465140,2332,-2706,258623
2018465841,2295,-2980,258486
2018466543,2289,-2792,258786
2018467246,2160,-2783,259017
2018467948,2353,-2817,258903
2018468649,2410,-2965,258837
2018469351,1976,-2923,258785
2018470053,2177,-2880,258575
2018470754,2169,-2720,258591
2018471457,2063,-2739,258720
2018472160,2279,-2767,258678
2018472862,2309,-2776,258717
2018473564,2211,-2625,258317
2018474266,2541,-2564,258715
2018474967,2283,-2766,258522
2018475668,2202,-2746,258618
2018476370,2271,-2778,258391
2018477073,2256,-2807,258782
2018477775,2272,-2728,258524
2018478478,2049,-2623,258755
2018479181,2379,-2823,258681
2018479882,2232,-2665,258636
2018480583,2289,-2852,258699
2018481285,2081,-2807,258811
2018481986,2282,-2806,258834
2018482687,2237,-2828,258859
2018483389,2305,-2796,258687
2018484092,2414,-2839,258512
2018484794,2179,-2829,258530
2018485497,2063,-2772,259027
2018486200,2369,-2769,258710
2018486901,2280,-2835,258427
2018487602,2217,-2709,258870
2018488304,2286,-3021,258642
2018489006,2253,-2783,258642
2018489707,2350,-2670,258684
2018490410,2313,-2853,258883
2018491113,2256,-2718,258752
2018491815,2310,-2772,258776
2018492516,2159,-2859,259178
2018493218,2250,-2651,258477
2018493919,2268,-2610,258738
2018494620,2318,-2617,258611
2018495323,2451,-2734,258657
2018496026,2345,-2928,258715
2018496728,2075,-2969,258922
2018497431,2327,-2906,258684
2018498133,2082,-2501,258848
2018498834,2440,-2783,258831
2018499535,2403,-2888,258672
2018500237,2350,-2809,258969
2018500939,2349,-2884,258679
2018501641,2182,-2762,258633
2018502344,2364,-2793,258514
2018503047,2152,-2979,258473
2018503748,2316,-2564,258909
2018504450,2382,-2736,258873
2018505152,2452,-2730,258498
2018505853,2273,-2777,258633
2018506555,2297,-2838,258799
2018507258,2265,-2518,258940
2018507960,2345,-2803,258645
2018508661,2210,-2669,258771
2018509363,2203,-2822,258645
2018510065,2295,-2730,258672
2018510767,2081,-2745,258788
2018511470,2370,-2985,258787
2018512172,2252,-2758,258795
2018512873,2443,-2461,258579
2018513575,2372,-2659,258405
2018514278,2221,-2826,258474
2018514979,2400,-2852,258710
2018515680,2260,-2727,258701
2018516383,2219,-2682,258518
2018517086,2249,-2880,258657
2018517787,2262,-2800,258872
2018518489,2421,-2875,258679
2018519192,2349,-2820,258787
2018519894,2321,-2943,258855
2018520595,2319,-2652,258873
2018521297,2342,-2910,258527
2018521998,2154,-2788,258699
2018522700,2174,-2613,258765
2018523403,2330,-2756,258828
2018524105,2237,-2841,258710
2018524806,2324,-2829,258865
2018525507,2293,-2862,258860
2018526210,2341,-2609,258810
2018526911,2629,-2668,258843
2018527612,2441,-2796,258914
2018528314,2177,-2900,258860
2018529017,2268,-2645,258838
2018529719,2131,-2708,258693
2018530422,2077,-2626,258676
2018531124,2387,-2707,258846
2018531825,2346,-2720,258688
2018532526,2372,-2626,258906
2018533229,2243,-2884,258778
2018533930,2252,-2960,258682
2018534631,2129,-2713,258824
2018535333,2212,-2670,258747
2018536036,2287,-2802,258689
2018536738,2174,-2756,258703
2018537441,2373,-2609,258899
2018538143,2284,-2801,258685
2018538844,2374,-2824,258711
2018539545,2352,-2632,258854
2018540248,2372,-2604,259006
2018540950,2248,-2651,258597
2018541651,2400,-2811,258780
2018542353,2384,-2734,258712
2018543055,2210,-2661,258745
2018543757,2246,-2776,258635
2018544460,2106,-2593,258622
2018545163,2090,-2664,259073
2018545864,2234,-2706,258876
2018546565,2097,-2781,258455
2018547268,2211,-2888,258741
2018547970,2112,-2751,258741
2018548672,2115,-2892,258681
2018549375,2251,-2942,258477
2018550077,2266,-2933,258557
2018550778,2170,-2736,258905
2018551481,2266,-2785,258646
2018552184,2273,-3005,258955
2018552886,2395,-2752,258867
2018553588,2197,-2763,258474
2018554290,2324,-2672,258757
2018554991,2410,-2774,258613
2018555692,2341,-2724,258597
2018556395,2397,-2738,258699
2018557098,2263,-2632,258783
2018557799,2107,-2953,258630
2018558501,2064,-2853,258653
2018559203,2231,-2623,258874
2018559904,2230,-2884,258606
2018560606,2343,-2833,258481
2018561309,2017,-2743,258690
2018562012,2430,-2731,258727
2018562713,2122,-2739,258613
2018563415,2398,-2734,258693
2018564117,2337,-2883,258802
2018564819,2078,-2856,258778
2018565521,2143,-2799,258765
2018566224,2310,-2555,258712
2018566925,2292,-2691,258702
